Account ID,GSGM Key,Time,schoolCode,District ID,Unsdlea,Geoid,DistrictGeo,District,SchoolID,School,Transition,School Type,Category,Charter Type,IB Program,Chronically Failing,Greatest Gains Award,Highest Performing Award,Grade Range,Address,City,County,FIPS County Code,STATE,ZIP,Latitude,Longitude,Principal First Name,Principal Last Name,Principal,Email Address,Phone,College & Career Academy,Energy Pathway,STEM Certified,Learning Power Territory,Learning Power Coordinator,Learning Power Email,Coordinator Business Phone,Coordinator Cell Phone,Locale Code*,Locale*,Title I School*,GPC Customer,Workforce Development Region,Local Workforce Development Authority,CD Manager
S166,7415052,Old,5052741,741,1,1300001,Troup County,Troup County,5052,Berta Weathersbee Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,1200 Forrest Ave,Lagrange,"Troup, GA",13285,GA,30240,33.021431,-85.046104,LaRoyce,Sublett,LaRoyce Sublett,,706.883.1570,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,32,Town: Distant,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S290,7410109,Old,109741,741,1,1300001,Troup County,Troup County,109,Callaway Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,2200 Hammett Rd,Lagrange,"Troup, GA",13285,GA,30241,33.111796,-84.972336,Amy,Thornton,Amy Thornton,thorntonal@troup.org,706.845.2059,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,42,Rural: Distant,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S680,7410597,Old,597741,741,1,1300001,Troup County,Troup County,597,Ethel W. Kight Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,75 Gordon Rd,Lagrange,"Troup, GA",13285,GA,30240,33.028819,-85.065562,Candace,McGhee,Candace McGhee,mcgheecf@troup.org,706.812.7943,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,32,Town: Distant,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S748,7410205,Old,205741,741,1,1300001,Troup County,Troup County,205,Franklin Forest Elementary,,Elementary,Traditional,,No IB,No,No,No,PK-05,1 Scholar Ln,Lagrange,"Troup, GA",13285,GA,30240,33.073442,-85.035127,Lindsey,Barnes,Lindsey Barnes,barneslb@troup.org,706.845.7556,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,32,Town: Distant,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S946,7413050,Old,3050741,741,1,1300001,Troup County,Troup County,3050,Hillcrest Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,3116 Robert Hayes Rd,Lagrange,"Troup, GA",13285,GA,30240,33.122693,-85.038232,Carol,Montgomery,Carol Montgomery,montgomerycb@troup.org,706.812.7940,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,41,Rural: Fringe,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S956,7410397,Old,397741,741,1,1300001,Troup County,Troup County,397,Hogansville Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,611 E Main St,Hogansville,"Troup, GA",13285,GA,30230,33.169614,-84.908913,Bretley,Bryant,Bretley Bryant,bryantbh@troup.org,706.812.7990,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,42,Rural: Distant,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S958,7410194,Old,194741,741,1,1300001,Troup County,Troup County,194,Hollis Hand Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,641 Country Club Rd ,Lagrange,"Troup, GA",13285,GA,30240,33.055303,-85.056839,Jack,Morman,Jack Morman,mormanjl@troup.org,706.883.1580,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,41,Rural: Fringe,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S1233,7410189,Old,189741,741,1,1300001,Troup County,Troup County,189,Long Cane Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,238 Long Cane Rd,Lagrange,"Troup, GA",13285,GA,30240,32.958543,-85.129561,Linda,Wood,Linda Wood,woodld@troup.org,706.812.7948,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,42,Rural: Distant,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S1779,7415050,Old,5050741,741,1,1300001,Troup County,Troup County,5050,Rosemont Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,4679 Hamilton Rd,Lagrange,"Troup, GA",13285,GA,30241,32.961049,-84.948906,Christina,Grace,Christina Grace,,706.812.7954,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,42,Rural: Distant,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S2203,7410187,Old,187741,741,1,1300001,Troup County,Troup County,187,West Point Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,1701 E 12th St,West Point,"Troup, GA",13285,GA,31833,32.879972,-85.162087,Jan,Franks,Jan Franks,franksjk@troup.org,706.812.7973,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,32,Town: Distant,Yes,No,Three Rivers,Three Rivers,Jim Lovett
S2241,7410497,Old,497741,741,1,1300001,Troup County,Troup County,497,Whitesville Road Elementary School,,Elementary,Traditional,,No IB,No,No,No,PK-05,1700 Whitesville Rd ,Lagrange,"Troup, GA",13285,GA,30240,33.009395,-85.031774,Debra,Brock,Debra Brock,brockdm@troup.org,706.812.7968,No,No,No,West,Kim Weaver,koweaver@southernco.com,706.321.3535,706.604.7118,41,Rural: Fringe,Yes,No,Three Rivers,Three Rivers,Jim Lovett
